27,19,5163
27,18,5061
27,9,5005
27,15,4976
27,12,4936
27,17,4919
27,13,4913
27,11,4905
27,22,4899
27,14,4877
27,21,4848
27,20,4833
27,23,4765
27,8,4696
27,54,4457
27,62,4451
27,32,4183
27,45,3970
27,55,3953
27,64,3946
27,10,3848
27,71,3801
27,58,3798
27,69,3795
27,24,3780
27,65,3694
27,53,3546
27,16,3494
27,30,3458
27,31,3421
27,37,3119
27,39,3031
22,27,2955
15,27,2892
27,56,2861
27,63,2761
54,27,2745
14,27,2741
27,60,2734
62,27,2711
8,27,2704
23,27,2701
13,27,2589
64,27,2518
9,27,2505
17,27,2503
11,27,2489
45,27,2486
18,27,2485
12,27,2472
27,67,2454
27,44,2440
55,27,2421
19,27,2399
32,27,2391
27,48,2388
21,27,2364
65,27,2330
20,27,2321
27,35,2305
27,46,2293
71,27,2293
27,34,2279
58,27,2250
24,27,2228
69,27,2223
27,51,2203
16,27,2114
27,33,2099
53,27,2058
27,41,2056
27,40,2029
10,27,2012
30,27,1994
31,27,1969
27,43,1934
56,27,1877
27,66,1838
37,27,1779
39,27,1767
27,28,1756
27,29,1732
46,27,1661
63,27,1617
27,36,1584
60,27,1574
27,68,1544
67,27,1462
27,70,1454
27,50,1432
44,27,1432
27,25,1390
48,27,1376
34,27,1297
51,27,1271
35,27,1257
33,27,1227
41,27,1212
40,27,1137
27,52,1103
28,27,1092
43,27,1082
66,27,1038
29,27,992
36,27,960
27,61,926
68,27,876
50,27,864
25,27,834
70,27,830
16,10,793
22,10,757
22,16,750
15,16,730
8,16,729
8,10,677
52,27,675
16,8,663
10,8,657
64,10,655
64,16,610
15,10,595
34,16,571
34,10,568
65,16,560
22,34,551
27,49,543
30,16,538
10,16,534
12,10,530
12,16,530
26,16,530
22,21,528
61,27,526
71,10,525
18,16,500
14,10,495
10,64,487
28,16,485
65,10,485
16,68,482
25,16,480
10,68,480
62,10,480
18,10,480
71,16,475
16,30,472
34,22,471
16,64,468
68,16,465
16,26,465
34,23,464
14,16,460
22,47,458
22,31,457
22,30,455
46,23,454
68,10,450
16,65,447
17,16,445
58,10,445
22,43,444
23,10,441
10,12,441
16,12,441
10,71,440
10,58,438
22,28,434
22,24,433
23,16,431
22,46,430
27,26,426
22,42,424
16,9,422
10,65,422
67,16,420
16,67,419
22,35,418
16,71,416
16,69,416
19,16,415
46,15,414
10,9,414
10,67,414
10,69,414
22,41,412
22,45,412
69,16,410
13,16,410
13,10,405
22,17,404
22,8,403
22,18,402
16,13,402
10,13,401
34,8,400
46,11,400
46,19,400
22,39,400
22,40,400
67,10,395
69,10,395
17,10,395
25,10,395
27,59,394
23,34,392
16,70,391
22,26,390
16,28,388
22,38,388
10,70,387
16,11,384
10,66,384
16,66,384
10,11,384
34,17,383
9,10,381
34,15,378
22,32,376
22,33,376
22,44,376
34,13,374
34,11,374
34,18,374
34,19,374
34,14,373
8,21,373
34,20,373
34,9,373
34,21,372
9,16,371
22,51,370
34,12,368
22,9,366
60,10,365
22,29,364
10,61,364
30,8,363
16,15,362
