49,22,4559
49,12,4386
49,13,4371
49,14,4370
49,15,4253
49,30,4201
49,39,4193
49,31,4138
49,21,4104
49,29,4049
49,20,4011
49,47,3785
49,38,3701
49,8,3617
49,37,3607
49,11,3449
49,28,3414
49,55,3409
49,46,3395
49,19,3383
49,10,3332
49,18,3189
49,54,2988
12,49,2809
49,36,2806
49,27,2786
49,9,2782
49,45,2764
49,16,2677
39,49,2667
14,49,2644
13,49,2605
15,49,2581
22,49,2565
31,49,2406
30,49,2386
21,49,2331
29,49,2284
11,49,2270
49,24,2245
49,26,2235
8,49,2215
49,44,2209
20,49,2185
38,49,2153
49,53,2124
47,49,2110
49,17,2071
49,35,2042
37,49,1997
55,49,1902
10,49,1901
49,52,1880
28,49,1856
19,49,1847
46,49,1844
18,49,1711
27,49,1642
49,34,1627
36,49,1617
54,49,1593
49,32,1552
9,49,1504
49,43,1499
45,49,1491
49,25,1485
16,49,1443
49,51,1336
53,49,1288
26,49,1251
49,33,1229
49,40,1188
44,49,1175
17,49,1171
24,49,1164
35,49,1148
49,48,964
52,49,956
48,49,887
34,49,844
49,42,830
49,50,818
32,49,817
25,49,799
43,49,760
48,23,729
51,49,686
48,8,681
40,49,678
11,8,655
11,51,619
30,8,579
33,49,572
46,27,570
11,27,558
8,30,554
48,11,553
8,17,552
12,8,537
48,39,537
11,39,535
46,19,535
11,43,533
8,48,524
11,15,519
11,47,515
11,31,513
11,19,510
11,35,507
48,27,505
48,50,504
8,50,504
48,17,500
11,48,496
48,40,495
11,23,495
8,25,495
48,12,495
8,14,494
48,15,489
39,8,487
11,12,486
48,14,486
11,46,485
11,55,485
48,53,485
48,43,485
48,31,485
48,47,480
48,26,480
8,40,478
48,51,476
48,55,475
48,35,474
8,22,471
48,25,470
46,11,468
48,19,468
8,36,465
48,13,464
8,11,464
8,26,463
50,49,461
11,38,461
48,38,461
11,40,460
11,41,458
48,41,458
8,9,457
48,29,455
48,10,454
8,16,454
8,42,452
48,36,450
48,24,450
48,28,450
11,13,448
48,32,447
8,33,446
48,30,445
8,12,445
48,21,443
11,32,442
49,41,440
48,22,440
48,42,440
8,18,440
48,20,440
48,34,438
8,35,438
11,20,438
11,50,438
11,36,438
11,33,438
11,29,438
48,16,437
8,34,437
48,52,436
48,9,435
11,28,435
11,17,435
48,33,435
48,18,435
11,26,434
11,14,434
11,25,430
11,10,429
11,53,428
48,44,428
48,37,425
48,54,425
8,21,425
8,24,424
46,15,424
39,52,424
11,9,422
8,45,422
8,10,422
48,45,421
11,21,420
48,46,420
11,24,420
11,16,420
11,52,419
14,13,414
12,11,414
8,53,413
8,41,413
8,13,412
11,42,410
46,31,410
11,34,408
11,45,408
8,29,408
42,49,407
14,8,406
39,48,406
11,18,405
14,17,405
11,44,405
11,22,405
11,30,405
11,54,400
8,39,399
8,51,398
11,37,398
12,48,397
12,50,396
14,9,395
39,11,395
12,27,393
8,20,391
8,55,391
14,25,390
30,32,385
46,23,385
8,23,384
49,23,383
12,38,381
12,51,381
8,37,378
8,46,373
12,39,372
12,30,371
27,8,367
39,40,366
8,54,366
13,8,365
46,35,364
12,19,363
40,8,362
12,15,362
8,44,362
12,43,360
8,28,360
30,28,360
12,40,360
14,29,360
14,33,360
12,47,360
23,48,356
39,50,354
12,13,352
36,8,350
8,32,350
39,12,348
8,27,348
12,23,348
8,15,346
39,27,345
39,54,345
17,8,345
14,21,345
8,43,340
30,20,335
51,11,335
12,10,333
12,31,330
12,52,330
12,32,330
12,41,330
15,8,329
39,53,328
8,31,328
39,15,324
50,8,324
39,35,324
12,35,324
10,8,322
12,14,321
39,38,321
53,51,321
39,23,320
12,17,318
12,29,318
12,25,318
12,21,318
39,31,315
39,14,315
39,19,315
30,12,315
12,44,315
12,28,315
12,54,315
39,36,315
12,36,315
12,20,315
8,38,311
8,19,310
39,41,310
39,42,310
39,26,310
39,55,310
12,53,309
51,8,306
39,51,306
39,25,305
39,13,304
12,34,303
39,34,303
39,17,300
39,18,300
39,20,300
39,21,300
39,22,300
39,47,300
39,46,300
39,24,300
39,45,300
39,44,300
39,43,300
39,28,300
39,37,300
39,29,300
39,30,300
39,33,300
39,32,300
12,26,300
12,24,300
12,33,300
12,22,300
12,55,300
12,18,300
12,46,300
12,45,300
12,42,300
12,37,300
12,16,300
12,9,300
22,8,295
39,10,294
27,46,291
8,52,291
35,8,290
50,46,289
53,8,289
39,9,286
39,16,285
50,44,282
25,8,280
38,8,280
34,8,277
50,29,277
8,47,276
41,8,273
50,24,271
50,45,271
21,8,270
50,25,270
30,36,270
27,11,268
27,48,266
30,24,265
50,30,264
15,51,262
52,27,261
27,52,261
52,35,258
9,8,257
26,8,256
42,8,256
30,16,255
29,8,253
23,8,252
50,26,249
20,8,247
50,48,244
33,8,242
16,8,242
53,43,242
18,8,240
24,8,236
50,32,236
27,50,235
27,12,234
15,46,232
27,39,228
15,48,225
28,8,224
55,8,223
37,8,223
53,50,221
32,8,220
50,33,220
50,28,220
15,11,219
13,48,218
45,8,218
13,14,218
27,40,215
54,8,214
31,8,214
51,19,213
43,8,212
50,12,212
19,8,211
14,40,211
14,48,210
53,55,210
13,50,209
50,34,208
52,39,207
52,31,207
44,8,206
51,15,206
46,8,205
40,48,205
40,50,204
38,48,201
15,12,201
53,48,201
51,12,201
50,40,200
14,50,199
50,14,199
15,50,198
13,12,198
15,39,195
38,11,195
41,49,192
27,51,192
13,11,191
53,47,191
27,15,189
40,11,188
50,27,187
15,40,185
27,31,184
38,50,182
27,26,181
51,53,181
13,40,180
27,36,180
27,35,178
51,14,178
27,41,178
14,11,178
27,14,178
27,53,178
38,12,177
35,52,177
36,48,176
40,39,174
36,11,174
50,53,173
27,23,173
40,14,173
53,11,172
51,23,171
14,51,171
23,49,171
40,17,171
27,38,171
47,8,170
27,16,169
40,52,169
50,35,168
27,45,168
27,43,168
27,29,168
40,12,168
27,37,168
27,33,168
38,40,167
35,46,166
27,28,165
27,24,165
38,39,165
14,12,165
27,13,165
27,20,165
27,19,165
27,32,165
27,17,165
50,36,164
15,27,163
27,55,160
27,42,160
14,39,159
52,8,159
27,10,159
50,31,158
52,40,157
51,13,157
13,51,157
27,9,156
35,11,156
36,50,156
27,25,155
55,53,154
13,9,154
27,34,153
10,12,153
50,13,153
35,48,153
53,39,152
14,53,152
13,39,152
27,54,150
27,47,150
27,44,150
27,30,150
27,22,150
27,21,150
27,18,150
15,36,150
13,36,150
15,14,149
38,52,149
40,53,149
15,41,148
40,26,148
15,53,148
51,10,147
10,48,146
50,38,146
50,37,145
14,42,144
14,55,143
44,50,142
36,30,141
54,39,141
15,38,141
40,42,140
40,55,140
50,41,140
19,46,140
40,41,140
50,18,139
40,38,139
40,27,139
24,50,139
15,26,139
15,45,138
15,43,138
15,37,138
15,31,138
15,13,138
53,54,138
51,18,138
53,40,137
15,35,137
19,51,137
13,16,136
50,42,136
30,50,136
38,27,135
36,40,135
36,39,135
36,12,135
13,17,135
13,24,135
53,52,135
13,25,135
13,33,135
15,32,135
15,28,135
15,16,135
15,24,135
15,17,135
15,20,135
15,33,133
40,15,133
35,50,132
52,33,132
40,13,132
36,52,131
26,11,130
13,21,130
15,42,130
15,55,130
46,50,129
51,48,129
15,10,129
15,52,129
51,26,129
38,15,129
40,25,129
10,11,129
40,23,129
50,54,129
32,50,128
15,29,128
52,11,127
50,11,126
50,39,126
13,29,125
14,26,125
15,23,125
15,25,125
29,50,125
38,14,124
52,34,124
38,13,123
35,39,123
40,36,123
45,50,123
13,34,123
31,52,123
15,34,123
36,27,123
25,50,122
14,27,122
15,9,122
50,47,122
53,27,122
13,28,121
14,15,121
51,9,121
50,51,121
52,36,120
15,47,120
43,11,120
13,42,120
13,45,120
13,30,120
15,54,120
13,46,120
13,55,120
52,48,120
15,44,120
51,17,120
14,36,120
