10,8,10029
8,10,6489
9,8,6011
18,8,5805
15,8,5410
10,29,5193
10,23,5183
10,43,5133
10,24,5073
10,31,5068
10,14,5063
10,16,5052
10,50,5017
10,38,4985
10,36,4979
10,32,4977
10,33,4974
10,30,4955
10,15,4946
10,42,4934
10,55,4932
11,8,4927
10,54,4923
10,44,4907
10,13,4906
10,35,4861
10,19,4830
10,51,4818
10,52,4811
10,34,4810
10,28,4806
10,41,4792
10,18,4788
10,48,4787
10,40,4767
10,49,4767
17,8,4738
10,9,4733
10,22,4728
10,21,4698
10,27,4685
10,12,4669
10,53,4657
10,17,4642
10,20,4632
10,26,4613
10,45,4610
10,46,4582
10,11,4568
8,18,4519
10,25,4511
8,9,4496
19,8,4457
8,15,4447
10,39,4420
10,47,4384
10,37,4375
26,8,4244
25,8,4027
39,8,3908
8,11,3822
8,17,3715
12,8,3646
8,19,3635
37,8,3431
47,8,3407
8,26,3381
23,10,3302
9,10,3295
8,39,3294
55,10,3276
8,25,3260
8,12,3139
51,10,2931
8,47,2930
8,37,2817
15,10,2787
18,10,2736
44,10,2589
27,8,2585
19,10,2559
12,10,2534
45,8,2534
24,10,2494
43,10,2456
17,10,2445
14,10,2441
34,10,2439
26,10,2419
25,10,2400
16,10,2393
45,10,2384
11,10,2380
31,10,2358
13,10,2345
54,10,2343
27,10,2339
44,8,2325
32,10,2316
29,10,2313
28,10,2297
30,10,2292
50,10,2288
48,10,2263
8,27,2255
21,10,2247
37,10,2244
41,10,2234
35,10,2230
38,10,2225
33,10,2218
52,10,2210
39,10,2208
46,10,2196
40,10,2175
22,10,2171
36,10,2164
49,10,2162
53,10,2141
47,10,2130
42,10,2129
20,10,2105
8,45,2093
13,8,2039
21,8,2021
34,8,1909
8,44,1891
8,13,1771
16,8,1681
8,21,1645
41,8,1522
8,34,1507
8,16,1380
14,9,1331
20,8,1322
46,15,1321
9,14,1277
9,18,1271
8,41,1270
46,8,1266
55,9,1249
46,19,1226
55,18,1221
23,9,1217
55,15,1208
9,15,1207
8,20,1170
9,19,1159
51,18,1139
23,18,1135
23,15,1106
15,46,1086
46,11,1079
14,17,1064
8,46,1055
51,9,1036
55,11,1018
23,19,1016
55,19,1012
55,17,1010
55,39,991
51,15,974
14,25,967
9,11,967
19,46,959
9,47,956
30,12,953
55,26,952
9,17,946
51,8,941
23,17,919
55,25,919
23,11,911
46,27,910
9,25,909
55,12,898
9,12,893
30,8,881
55,47,880
51,19,871
51,11,865
23,39,863
11,46,856
23,12,848
51,17,841
9,26,832
17,14,830
23,26,793
23,25,789
9,27,784
9,39,783
9,13,777
23,47,769
55,8,768
9,44,763
51,39,744
12,30,740
51,25,732
51,12,726
18,9,707
55,27,699
9,16,698
51,47,697
55,37,694
51,26,693
30,16,690
8,30,675
23,8,663
25,14,663
27,46,658
9,37,648
44,9,641
19,9,631
9,20,624
23,37,620
9,45,613
51,37,605
9,34,602
15,9,600
55,13,585
55,45,574
14,18,573
23,45,566
24,19,566
23,27,564
9,46,556
14,13,553
55,44,546
55,34,542
14,21,542
24,11,542
40,8,533
8,51,531
25,9,529
55,16,527
51,27,526
23,44,524
24,17,523
23,13,520
9,21,511
9,22,511
24,8,507
24,15,502
23,34,501
9,51,497
8,40,487
43,15,483
24,9,471
26,18,471
17,9,468
51,45,468
44,39,465
24,12,464
43,18,457
24,47,450
55,46,450
9,55,446
43,9,445
13,9,443
26,9,442
55,21,440
23,21,440
24,26,438
22,8,436
51,44,436
27,9,435
55,20,435
51,13,432
44,18,431
35,8,429
34,9,428
44,11,420
24,18,419
16,9,417
15,19,417
8,22,416
28,15,413
25,18,413
27,17,412
45,18,409
12,9,407
24,39,406
15,18,406
24,45,404
9,41,403
24,25,402
31,8,401
45,9,400
18,17,398
44,17,397
34,17,395
30,15,392
44,19,389
11,9,388
47,9,388
25,26,388
21,14,387
9,35,386
17,18,386
25,15,385
30,20,385
13,15,382
44,26,381
23,16,380
14,15,380
18,15,380
17,26,374
31,9,373
19,15,373
22,9,372
55,41,368
23,20,367
26,17,367
9,40,367
44,12,364
34,39,364
34,15,364
16,30,363
9,23,362
9,31,360
26,25,359
43,11,359
15,11,358
8,35,358
12,15,357
51,16,357
20,9,354
23,41,354
31,18,352
22,15,352
24,13,351
51,21,351
46,9,350
43,19,350
19,26,350
25,19,350
15,25,348
46,35,348
51,34,346
44,25,343
16,18,342
22,18,342
9,43,341
24,27,341
24,34,340
45,19,338
54,9,337
26,19,332
25,11,332
28,19,331
14,19,331
45,25,325
32,18,324
44,45,324
45,15,324
23,46,320
31,44,319
31,26,319
9,24,318
17,11,318
30,9,317
39,9,317
21,9,317
24,46,317
22,11,314
18,26,314
34,11,313
31,25,312
24,44,310
24,16,310
16,15,309
45,27,308
11,15,308
19,18,307
18,14,306
54,15,306
45,44,302
15,12,302
17,15,300
33,9,300
22,17,300
18,25,298
20,11,296
30,17,296
15,37,296
24,37,296
37,9,296
34,26,295
17,39,293
34,27,293
33,18,293
18,19,291
31,12,291
54,17,290
48,9,290
9,33,290
51,20,290
27,15,289
45,26,288
9,48,288
9,32,286
31,13,286
28,18,285
54,25,282
18,45,282
9,30,282
15,13,281
24,22,280
24,20,280
12,18,280
25,17,280
31,16,280
30,11,278
18,23,278
46,26,278
32,39,278
32,25,277
18,51,277
44,15,276
22,26,276
27,19,276
27,18,275
9,54,275
34,25,274
15,17,273
28,17,273
11,17,272
46,39,272
51,46,270
32,9,270
27,26,270
55,22,270
25,12,269
46,17,268
54,26,268
46,18,267
25,45,267
13,19,267
31,45,266
21,26,265
15,55,265
25,44,264
34,18,264
8,31,264
19,23,264
31,41,264
13,18,264
18,55,263
17,27,262
37,15,262
43,37,262
22,12,261
22,39,260
26,45,260
19,17,260
17,25,260
9,50,260
44,27,260
26,44,259
45,11,258
13,14,258
32,19,258
35,9,258
11,25,257
32,11,257
9,28,257
34,16,254
26,21,254
8,55,254
45,39,254
45,17,254
29,11,254
9,53,253
31,19,251
15,23,251
40,9,251
43,26,251
26,15,250
19,25,250
31,11,250
8,24,250
54,11,249
51,41,249
9,29,249
27,12,245
54,39,244
34,47,244
28,11,243
9,52,243
26,11,242
54,8,242
46,25,242
32,15,242
27,25,241
31,47,240
45,12,240
32,34,239
20,18,238
17,19,238
54,19,238
19,11,237
27,39,237
21,11,237
9,42,237
43,25,236
9,36,236
11,18,235
46,12,235
30,19,234
34,12,234
54,37,234
54,47,234
50,9,234
38,15,234
26,39,233
39,55,232
43,47,232
9,49,231
27,11,231
11,19,230
31,40,229
43,17,229
9,38,228
46,47,228
50,39,228
31,46,227
39,17,227
27,44,227
34,19,227
12,23,227
17,44,226
25,27,226
40,18,226
40,15,226
29,9,225
26,55,224
54,18,224
18,11,223
17,55,222
19,55,222
31,20,222
30,18,222
17,12,222
54,12,222
22,25,222
19,39,222
53,9,222
39,44,221
11,55,221
25,34,220
24,21,220
32,26,220
17,23,219
30,27,218
27,45,217
33,25,217
29,15,217
33,17,216
31,17,215
23,22,215
28,39,215
11,44,215
13,11,212
18,39,212
31,34,212
47,18,212
27,47,212
15,51,212
8,23,211
34,37,211
33,44,210
55,35,210
33,47,209
14,12,209
25,39,208
25,55,208
26,27,208
18,12,208
18,47,207
33,12,207
22,44,206
50,17,206
43,12,206
40,17,205
20,25,205
41,9,204
47,19,202
46,16,202
19,24,202
32,27,202
19,27,202
53,12,202
50,18,201
11,24,201
50,11,201
31,15,200
42,17,200
12,55,200
47,55,200
40,25,199
17,51,199
39,11,199
39,18,199
54,27,198
39,23,198
15,26,198
19,51,197
34,45,197
20,15,197
11,23,197
12,25,196
27,37,196
19,44,196
46,45,195
33,13,195
26,47,195
25,37,195
21,25,194
15,47,194
15,14,193
11,51,193
52,9,191
21,18,191
34,13,191
48,15,191
54,20,190
44,47,190
41,18,190
47,12,189
25,47,189
25,51,189
39,32,189
30,25,188
16,26,188
31,27,188
14,11,186
45,20,186
47,15,186
18,44,186
16,11,186
19,37,185
54,13,185
15,43,185
26,37,184
46,13,184
50,19,184
20,12,184
16,39,184
32,17,184
20,26,184
33,15,182
17,24,182
49,18,182
50,15,182
12,19,182
36,9,181
18,13,181
15,28,181
26,12,181
37,19,181
22,45,180
18,43,180
11,39,180
29,18,180
24,35,180
25,23,179
34,44,179
25,21,179
33,19,179
32,37,179
18,16,179
19,47,178
21,19,177
45,34,177
31,39,177
12,51,177
28,37,176
54,45,176
21,15,175
19,14,175
53,26,175
54,16,175
46,34,175
19,45,175
45,47,175
16,17,175
28,9,175
18,21,174
37,25,174
12,44,174
15,45,173
19,13,173
47,23,173
28,25,173
18,31,172
16,19,172
30,26,172
45,24,172
34,21,172
35,18,172
22,37,172
55,40,171
26,23,171
42,9,171
47,26,170
53,18,170
45,13,169
11,26,169
16,47,169
53,25,168
15,24,168
12,17,168
27,20,168
45,21,168
15,30,167
11,21,167
21,47,166
46,37,166
36,11,166
46,22,166
32,12,165
54,34,165
35,25,165
54,46,165
26,24,165
39,19,165
20,45,164
30,37,164
53,11,164
49,9,164
19,12,163
40,39,162
50,12,162
46,20,162
11,22,161
18,27,161
47,51,161
48,17,161
35,46,161
44,37,160
38,19,160
43,39,160
44,21,160
39,51,160
12,39,159
28,26,159
39,27,158
25,20,158
26,51,158
30,39,158
33,46,157
32,8,157
24,41,157
15,16,157
15,27,157
21,45,156
18,41,156
38,9,156
18,32,156
47,37,156
21,17,156
53,19,156
31,42,156
15,22,156
36,26,155
27,34,155
44,31,155
35,15,155
55,51,155
11,47,155
16,37,155
20,37,154
17,37,154
43,8,154
52,15,154
30,47,154
13,37,154
39,12,153
29,19,152
19,31,151
17,34,151
37,51,151
18,22,151
11,20,150
23,35,150
43,27,150
37,55,150
42,15,150
32,47,150
41,25,150
29,47,150
47,27,150
17,22,150
42,18,149
39,25,149
35,19,148
8,32,148
27,55,147
44,41,147
36,15,146
12,27,146
47,24,146
45,16,146
41,15,145
39,26,145
46,44,145
22,27,144
12,24,144
40,37,144
25,22,144
38,18,144
29,39,144
29,17,144
37,26,144
13,26,143
45,46,143
37,17,143
31,51,142
41,17,142
44,23,142
14,37,142
53,15,141
48,18,141
26,31,141
25,13,140
29,45,140
20,27,140
40,26,140
54,22,140
19,28,139
11,45,139
28,47,139
17,28,139
40,12,138
47,25,138
31,24,138
33,37,138
18,28,138
52,18,138
37,47,138
8,54,138
11,43,138
12,11,137
32,21,137
27,13,137
17,47,137
35,12,137
36,18,136
18,24,136
12,20,136
11,31,136
48,11,135
17,21,135
40,45,135
28,27,135
14,47,135
12,31,135
39,21,135
12,47,134
8,28,134
27,51,134
17,41,134
19,43,134
45,37,134
38,12,133
14,39,133
15,34,133
17,20,133
34,20,133
26,22,133
27,23,133
45,23,132
12,26,132
34,32,132
32,45,132
25,32,132
29,8,132
8,43,132
41,19,131
26,34,131
48,8,131
37,18,131
